x,y,z,difference,label
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,1,0
-12,11,61,1,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,1,0
-11,11,60,1,0
-12,11,60,1,0
-12,11,61,1,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,1,0
-12,12,60,1.414213562,0
-12,11,61,0,0
-12,11,61,1,0
-12,11,60,1,0
-12,11,61,1,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,1,0
-12,11,61,1,0
-12,11,60,1,0
-12,11,61,1.414213562,0
-11,11,60,1,0
-12,11,60,1,0
-11,11,60,0,0
-11,11,60,1,0
-11,11,61,1,0
-12,11,61,1,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,1,0
-11,11,60,0,0
-11,11,60,1.414213562,0
-12,11,61,1.414213562,0
-11,11,60,1.414213562,0
-12,12,60,1,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,1.414213562,0
-11,11,61,1.414213562,0
-12,11,60,1,0
-12,11,61,1,0
-11,11,61,1,0
-11,11,60,1,0
-12,11,60,0,0
-12,11,60,1,0
-11,11,60,0,0
-11,11,60,1,0
-12,11,60,0,0
-12,11,60,1,0
-11,11,60,1.414213562,0
-12,11,61,1.414213562,0
-11,11,60,1,0
-11,11,61,1.414213562,0
-12,11,60,0,0
-12,11,60,1.414213562,0
-11,11,61,1,0
-12,11,61,1,0
-11,11,61,1.414213562,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,1,0
-11,11,60,1,0
-12,11,60,1,0
-11,11,60,1,0
-12,11,60,1,0
-12,11,61,0,0
-12,11,61,1,0
-12,11,60,1.414213562,0
-11,11,61,1.414213562,0
-12,11,60,1,0
-11,11,60,1.414213562,0
-12,11,61,1.414213562,0
-11,11,60,1,0
-12,11,60,0,0
-12,11,60,0,0
-12,11,60,1.414213562,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1,0
-12,11,60,1.414213562,0
-11,11,61,0,0
-11,11,61,1.732050808,0
-12,12,60,1.732050808,0
-11,11,61,1,0
-11,11,60,1,0
-12,11,60,0,0
-12,11,60,1.414213562,0
-11,11,61,1.414213562,0
-12,11,60,0,0
-12,11,60,1,0
-11,11,60,1,0
-12,11,60,1.414213562,0
-11,11,61,1,0
-11,11,60,0,0
-11,11,60,1,0
-12,11,60,1,0
-11,11,60,0,0
-11,11,60,0,0
-11,11,60,1.414213562,0
-12,11,61,1.414213562,0
-11,11,60,1,0
-12,11,60,0,0
-12,11,60,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,0,0
-11,11,60,0,0
-11,11,60,0,0
-11,11,60,0,0
-11,11,60,0,0
-11,11,60,1,0
-12,11,60,1,0
-11,11,60,1,0
-11,11,61,0,0
-11,11,61,0,0
-11,11,61,0,0
-11,11,61,1,0
-11,11,60,0,0
-11,11,60,0,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,0,0
-11,11,60,1.414213562,0
-12,11,61,1.414213562,0
-11,11,60,0,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,0,0
-11,11,61,1,0
-11,11,60,0,0
-11,11,60,0,0
-11,11,60,1.414213562,0
-12,11,61,1.414213562,0
-11,11,60,0,0
-11,11,60,1,0
-11,11,61,0,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,0,0
-11,11,60,0,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,0,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,0,0
-11,11,61,1,0
-11,11,60,1,0
-11,11,61,1,0
-11,11,60,1.414213562,0
-12,11,61,1.732050808,0
-11,12,60,1,0
-11,11,60,0,0
-11,11,60,0,0
