eda,label
4,0
0,0
0.846297,0
1.193533,0
1.631475,0
2.109136,0
2.597141,0
3.089003,0
3.610389,0
4.105184,0
4.601562,0
4.826151,0
4.824871,0
4.82231,0
4.814628,0
4.813348,0
4.812068,0
4.810787,0
4.805666,0
4.803105,0
4.801825,0
4.803105,0
4.800544,0
4.799264,0
4.795423,0
4.789021,0
4.787741,0
4.789021,0
4.795423,0
4.796703,0
4.791582,0
4.792862,0
4.794143,0
4.809507,0
4.815908,0
4.82359,0
4.837674,0
4.842795,0
4.831272,0
4.824871,0
4.824871,0
4.836394,0
4.831272,0
4.828712,0
4.838954,0
4.858159,0
4.876084,0
4.906812,0
4.946502,0
4.991986,0
5.003509,0
5.009911,0
5.016312,0
5.016312,0
5.003509,0
4.995827,0
4.976622,0
4.96894,0
4.958697,0
4.948455,0
4.942053,0
4.93053,0
4.915166,0
4.917727,0
4.910045,0
4.898522,0
4.88956,0
4.884438,0
4.880597,0
4.884438,0
4.878036,0
4.870355,0
4.871635,0
4.871635,0
4.867794,0
4.867794,0
4.872915,0
4.866514,0
4.867794,0
4.860112,0
4.862673,0
4.875476,0
4.897242,0
4.92925,0
4.945894,0
4.979183,0
5.002228,0
5.050881,0
5.113617,0
5.172512,0
5.223725,0
5.268537,0
5.305666,0
5.324872,0
5.326152,0
5.322311,0
5.315909,0
5.289022,0
5.265976,0
5.249332,0
5.221165,0
5.190437,0
5.169951,0
5.158429,0
5.128981,0
5.117458,0
5.105935,0
5.090571,0
5.080328,0
5.072647,0
5.064965,0
5.061124,0
5.054722,0
5.04704,0
5.035517,0
5.038078,0
5.030396,0
5.023994,0
5.015032,0
5.015032,0
5.00607,0
5.000948,0
5.002228,0
4.994546,0
4.995827,0
4.984304,0
4.983024,0
4.983024,0
4.979183,0
4.976622,0
4.967659,0
4.963819,0
4.963819,0
4.963819,0
4.958697,0
4.951015,0
4.947175,0
4.949735,0
4.940773,0
4.938212,0
4.938212,0
4.92925,0
4.915166,0
4.916447,0
4.913886,0
4.924129,0
4.915166,0
4.912605,0
4.910045,0
4.903643,0
4.902363,0
4.906204,0
4.912605,0
4.912605,0
4.907484,0
4.906204,0
4.916447,0
4.915166,0
4.906204,0
4.902363,0
4.902363,0
4.899802,0
4.903643,0
4.902363,0
4.904923,0
4.893401,0
4.894681,0
4.895961,0
4.899802,0
4.893401,0
4.89212,0
4.888279,0
4.886999,0
4.893401,0
4.897242,0
4.894681,0
4.893401,0
4.895961,0
4.893401,0
4.899802,0
4.901083,0
4.895961,0
4.895961,0
4.885718,0
4.895961,0
4.895961,0
4.893401,0
4.885718,0
4.883158,0
4.89084,0
4.885718,0
4.881877,0
4.879317,0
4.879317,0
4.870355,0
4.878036,0
4.881877,0
4.886999,0
4.884438,0
4.894681,0
4.899802,0
4.899802,0
4.907484,0
4.912605,0
4.922848,0
4.920288,0
4.921568,0
4.921568,0
4.926689,0
4.913886,0
4.907484,0
4.903643,0
4.901083,0
4.895961,0
4.883158,0
4.880597,0
4.872915,0
4.884438,0
4.897242,0
4.913886,0
4.93181,0
4.938212,0
4.938212,0
4.942053,0
4.939492,0
4.936932,0
4.920288,0
4.920288,0
4.913886,0
4.907484,0
4.894681,0
4.886999,0
4.880597,0
4.880597,0
4.874196,0
4.870355,0
4.870355,0
4.856271,0
4.85499,0
4.858832,0
4.857551,0
4.849869,0
4.849869,0
4.861392,0
4.876756,0
4.88956,0
4.901083,0
4.911325,0
4.910045,0
4.901083,0
4.904923,0
4.899802,0
4.899802,0
4.883158,0
4.883158,0
4.879317,0
4.878036,0
4.866514,0
4.869074,0
4.863953,0
4.862673,0
4.870355,0
4.870355,0
4.861392,0
4.856271,0
4.85115,0
4.847309,0
4.835786,0
4.833225,0
4.831945,0
4.820422,0
4.8153,0
4.816581,0
4.808899,0
4.802497,0
4.806338,0
4.799937,0
4.803778,0
4.802497,0
4.801217,0
4.798656,0
4.792254,0
4.784573,0
4.802497,0
4.825543,0
4.85243,0
4.89212,0
4.93181,0
4.9715,0
5.009911,0
5.027835,0
5.044479,0
5.052161,0
5.050881,0
5.04832,0
5.044479,0
5.020153,0
5.002228,0
4.983024,0
4.967659,0
4.958697,0
4.947175,0
4.93181,0
4.934371,0
4.921568,0
4.92925,0
4.921568,0
4.913886,0
4.906204,0
4.898522,0
4.893401,0
4.88956,0
4.881877,0
4.869074,0
4.865233,0
4.865233,0
4.879317,0
4.89212,0
4.924129,0
4.947175,0
4.965099,0
4.983024,0
4.998387,0
5.004789,0
5.002228,0
4.995827,0
4.980463,0
4.962538,0
4.956137,0
4.944613,0
4.93181,0
4.925409,0
4.922848,0
4.927969,0
4.93181,0
4.925409,0
4.925409,0
4.910045,0
4.908764,0
4.907484,0
4.899802,0
4.888279,0
4.88956,0
4.89212,0
4.901083,0
4.907484,0
4.912605,0
4.911325,0
4.916447,0
4.917727,0
4.919007,0
4.915166,0
4.908764,0
4.898522,1
4.88956,1
4.881877,1
4.880597,1
4.876756,1
4.878036,1
4.870355,1
4.870355,1
4.869074,1
4.866514,1
4.867794,1
4.860112,1
4.849869,1
4.847309,1
4.842187,1
4.843468,1
4.846028,1
4.85499,1
4.870355,1
4.885718,1
4.907484,1
4.915166,1
4.913886,1
4.911325,1
4.908764,1
4.894681,1
4.884438,1
4.875476,1
4.869074,1
4.857551,1
4.848589,1
4.842187,1
4.848589,1
4.840907,1
5.072647,1
4.915166,1
4.899802,1
4.89084,1
4.912605,1
5.016312,1
5.222445,1
5.577096,1
6.092692,1
6.500389,1
6.931435,1
7.149815,1
7.253522,1
7.304735,1
7.288091,1
7.295773,1
7.290651,1
7.217672,1
7.079397,1
6.929598,1
6.784921,1
6.647926,1
6.50581,1
6.4674,1
6.370095,1
6.251581,1
6.152995,1
6.056971,1
5.972469,1
5.870043,1
5.761639,1
5.734752,1
