bvp,label
64,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0.01,0
0,0
-0.03,0
-0.05,0
-0.05,0
0,0
0.13,0
0.36,0
0.66,0
1.01,0
1.37,0
1.72,0
2.06,0
2.4,0
2.79,0
3.24,0
3.8,0
4.42,0
5.06,0
5.66,0
6.2,0
6.68,0
7.15,0
7.68,0
8.31,0
9.14,0
10.09,0
11.04,0
11.88,0
12.56,0
13.14,0
13.76,0
14.65,0
15.96,0
17.91,0
20.32,0
22.9,0
25.38,0
27.58,0
29.57,0
31.68,0
34.32,0
37.81,0
42.54,0
48.15,0
54.1,0
59.83,0
64.97,0
69.58,0
74.14,0
79.34,0
85.71,0
93.76,0
103,0
112.62,0
121.73,0
129.77,0
136.75,0
143.3,0
150.75,0
157.77,0
166.64,0
177.95,0
191.79,0
206.97,0
220.57,0
228.25,0
225.36,0
208.53,0
176.87,0
132.76,0
80.05,0
23.07,0
-34.94,0
-92.44,0
-149.16,0
-205.23,0
-260.37,0
-313.74,0
-363.87,0
-409.83,0
-450.89,0
-486.48,0
-515.7,0
-537.17,0
-549.13,0
-549.84,0
-538.21,0
-514,0
-478.42,0
-433.57,0
-382.08,0
-326.59,0
-269.34,0
-212.07,0
-156.02,0
-102.24,0
-51.59,0
-5.05,0
36.52,0
72.45,0
102.47,0
126.72,0
145.71,0
160.15,0
170.74,0
178.11,0
182.65,0
184.66,0
184.36,0
182.04,0
178.02,0
172.73,0
166.57,0
159.9,0
152.95,0
145.87,0
138.74,0
131.59,0
124.47,0
117.44,0
110.58,0
103.95,0
97.61,0
91.59,0
85.9,0
80.57,0
75.59,0
70.98,0
66.74,0
62.88,0
59.41,0
56.32,0
53.62,0
51.3,0
49.37,0
47.81,0
46.61,0
45.73,0
45.11,0
44.66,0
44.26,0
43.75,0
42.94,0
41.67,0
39.77,0
37.11,0
33.63,0
29.32,0
24.22,0
18.46,0
12.24,0
5.82,0
-0.55,0
-6.59,0
-12.06,0
-16.76,0
-20.54,0
-23.34,0
-25.13,0
-25.98,0
-25.98,0
-25.26,0
-23.97,0
-22.24,0
-20.21,0
-17.98,0
-15.61,0
-13.15,0
-10.64,0
-8.11,0
-5.56,0
-3,0
-0.41,0
2.21,0
4.89,0
7.64,0
10.49,0
13.39,0
16.32,0
19.28,0
22.26,0
25.3,0
28.41,0
31.65,0
35.06,0
38.74,0
42.61,0
46.64,0
50.82,0
55.14,0
59.62,0
64.28,0
69.15,0
74.29,0
79.78,0
85.46,0
91.24,0
97.05,0
102.87,0
108.67,0
114.43,0
120.18,0
125.94,0
131.75,0
137.34,0
142.5,0
147.01,0
150.67,0
153.18,0
154.19,0
153.2,0
149.52,0
144.46,0
138.53,0
132.01,0
125.12,0
118.02,0
110.82,0
103.64,0
96.61,0
89.85,0
83.52,0
77.49,0
71.67,0
66.04,0
60.59,0
55.32,0
50.28,0
45.49,0
41.03,0
37,0
33.27,0
29.77,0
26.48,0
23.39,0
20.5,0
17.84,0
15.43,0
13.32,0
11.53,0
9.98,0
8.6,0
7.35,0
6.18,0
5.06,0
3.94,0
2.82,0
1.66,0
0.52,0
-0.63,0
-1.76,0
-2.84,0
-3.83,0
-4.71,0
-5.49,0
-6.19,0
-6.82,0
-7.38,0
-7.87,0
-8.28,0
-8.59,0
-8.82,0
-9.02,0
-9.27,0
-9.68,0
-10.31,0
-11.17,0
-12.22,0
-13.33,0
-14.39,0
-15.35,0
-16.27,0
-17.31,0
-18.67,0
-20.53,0
-22.92,0
-25.72,0
-28.69,0
-31.59,0
-34.33,0
-37.03,0
-40.07,0
-43.85,0
-48.71,0
-54.69,0
-61.5,0
-68.63,0
-75.56,0
-82.02,0
-88.15,0
-94.48,0
-101.71,0
-110.37,0
-120.61,0
-132.04,0
-144.04,0
-155.91,0
-167.28,0
-178.23,0
-189.24,0
-201.07,0
-214.65,0
-230.91,0
-250.58,0
-273.62,0
-298.69,0
-322.94,0
-342.43,0
-353.33,0
-353.26,0
-342.29,0
-322.8,0
-298.51,0
