bvp,label
64,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0.01,0
0,0
-0.03,0
-0.05,0
-0.05,0
0,0
0.13,0
0.36,0
0.66,0
1.01,0
1.37,0
1.72,0
2.06,0
2.4,0
2.79,0
3.24,0
3.8,0
4.42,0
5.06,0
5.66,0
6.2,0
6.68,0
7.15,0
7.68,0
8.31,0
9.14,0
10.09,0
11.04,0
11.88,0
12.56,0
13.14,0
13.76,0
14.65,0
15.96,0
17.91,0
20.32,0
22.9,0
25.38,0
27.58,0
29.57,0
31.68,0
34.32,0
37.81,0
42.54,0
48.15,0
54.1,0
59.83,0
64.97,0
69.58,0
74.14,0
79.34,0
85.71,0
93.76,0
103,0
112.62,0
121.73,0
129.77,0
136.75,0
143.3,0
150.75,0
157.77,0
166.64,0
177.95,0
191.79,0
206.97,0
220.57,0
228.25,0
225.36,0
208.53,0
176.87,0
132.76,0
80.05,0
23.07,0
-34.94,0
-92.44,0
-149.16,0
-205.23,0
-260.37,0
-313.74,0
-363.87,0
-409.83,0
-450.91,0
-486.5,0
-515.74,0
-537.23,0
-549.22,0
-549.96,0
-538.37,0
-514.21,0
-478.67,0
-433.88,0
-382.45,0
-327.02,0
-269.84,0
-212.63,0
-156.66,0
-102.95,0
-52.37,0
-5.9,0
35.58,0
71.43,0
101.35,0
125.5,0
144.38,0
158.69,0
169.15,0
176.37,0
180.75,0
182.57,0
182.07,0
179.51,0
175.23,0
169.65,0
163.18,0
156.15,0
148.81,0
141.3,0
133.69,0
126.02,0
118.33,0
110.69,0
103.16,0
95.8,0
88.68,0
81.83,0
75.25,0
68.95,0
62.95,0
57.25,0
51.86,0
46.78,0
42.03,0
37.59,0
33.45,0
29.61,0
26.07,0
22.81,0
19.83,0
17.11,0
14.67,0
12.48,0
10.54,0
8.83,0
7.35,0
6.07,0
4.97,0
4.05,0
3.27,0
2.62,0
2.09,0
1.65,0
1.3,0
1.01,0
0.79,0
0.61,0
0.47,0
0.37,0
0.29,0
0.23,0
0.19,0
0.17,0
0.16,0
0.16,0
0.17,0
0.19,0
0.21,0
0.24,0
0.28,0
0.32,0
0.36,0
0.4,0
0.45,0
0.5,0
0.54,0
0.59,0
0.65,0
0.7,0
0.76,0
0.83,0
0.9,0
0.97,0
1.06,0
1.15,0
1.26,0
1.38,0
1.51,0
1.66,0
1.82,0
2,0
2.21,0
2.44,0
2.69,0
2.97,0
3.27,0
3.61,0
3.98,0
4.39,0
4.82,0
5.3,0
5.81,0
6.36,0
6.96,0
7.59,0
8.27,0
8.99,0
9.75,0
10.57,0
11.42,0
12.33,0
13.27,0
14.27,0
15.34,0
16.47,0
17.66,0
18.91,0
20.18,0
21.46,0
22.66,0
23.7,0
24.49,0
24.9,0
24.8,0
24.09,0
22.71,0
20.58,0
17.76,0
14.29,0
10.27,0
5.9,0
1.37,0
-3.12,0
-7.35,0
-11.13,0
-14.32,0
-16.82,0
-18.57,0
-19.59,0
-19.9,0
-19.6,0
-18.81,0
-17.63,0
-16.17,0
-14.52,0
-12.73,0
-10.85,0
-8.9,0
-6.88,0
-4.87,0
-2.94,0
-1.1,0
0.67,0
2.37,0
4.1,0
5.9,0
7.86,0
10.02,0
12.27,0
14.53,0
16.75,0
18.96,0
21.2,0
23.57,0
26.21,0
29.2,0
32.65,0
36.3,0
39.95,0
43.49,0
46.93,0
50.35,0
53.94,0
57.9,0
62.38,0
67.48,0
72.67,0
77.52,0
81.8,0
85.5,0
88.83,0
92.21,0
96.06,0
100.6,0
105.85,0
110.82,0
114.63,0
116.59,0
116.37,0
114,0
109.59,0
102.87,0
92.54,0
81.07,0
68.33,0
53.73,0
36.81,0
17.73,0
-2.78,0
-23.58,0
-43.58,0
-62.14,0
-79.2,0
-95.86,0
-113.33,0
-132.73,0
-155.14,0
-181.22,0
-210.71,0
-241.68,0
-270.3,0
-291.35,0
-300.36,0
-294.79,0
-275.39,0
-246.07,0
-212.42,0
-179.54,0
-150.47,0
-125.74,0
-104.32,0
-85.28,0
