eda,label
4,0
0,0
0.824631,0
0.774959,0
0.740386,0
0.744227,0
0.749349,0
0.75063,0
0.757032,0
0.757032,0
0.757032,0
0.757032,0
0.758313,0
0.753191,0
0.753191,0
0.755752,0
0.757032,0
0.754471,0
0.75063,0
0.75191,0
0.748069,0
0.746788,0
0.748069,0
0.748069,0
0.745508,0
0.744227,0
0.745508,0
0.742947,0
0.740386,0
0.741666,0
0.742947,0
0.742947,0
0.741666,0
0.741666,0
0.739105,0
0.737825,0
0.737825,0
0.735264,0
0.733983,0
0.736544,0
0.733983,0
0.733983,0
0.733983,0
0.730142,0
0.732703,0
0.727581,0
0.726301,0
0.730142,0
0.731422,0
0.730142,0
0.731422,0
0.730142,0
0.732703,0
0.731422,0
0.730142,0
0.735264,0
0.735264,0
0.736544,0
0.736544,0
0.731422,0
0.733983,0
0.733983,0
0.726301,0
0.727581,0
0.728862,0
0.728862,0
0.726301,0
0.72374,0
0.722459,0
0.719898,0
0.719898,0
0.722459,0
0.72374,0
0.722459,0
0.722459,0
0.721179,0
0.722459,0
0.722459,0
0.722459,0
0.72502,0
0.730142,0
0.739105,0
0.733983,0
0.736544,0
0.740386,0
0.744227,0
0.742947,0
0.75063,0
0.748069,0
0.744227,0
0.744227,0
0.741666,0
0.735264,0
0.733983,0
0.730142,0
0.727581,0
0.72502,0
0.727581,0
0.727581,0
0.726301,0
0.72374,0
0.722459,0
0.719898,0
0.717337,0
0.717337,0
0.719898,0
0.716057,0
0.718618,0
0.716057,0
0.714776,0
0.713496,0
0.718618,0
0.721179,0
0.727581,0
0.732703,0
0.736544,0
0.739105,0
0.737825,0
0.735264,0
0.737825,0
0.732703,0
0.730142,0
0.727581,0
0.728862,0
0.727581,0
0.726301,0
0.72374,0
0.719898,0
0.722459,0
0.72374,0
0.731422,0
0.744227,0
0.753191,0
0.765996,0
0.776239,0
0.785203,0
0.790325,0
0.801849,0
0.799288,0
0.794166,0
0.792886,0
0.790325,0
0.789044,0
0.783922,0
0.77752,0
0.773678,0
0.769837,0
0.767276,0
0.762154,0
0.762154,0
0.757032,0
0.757032,0
0.758313,0
0.759593,0
0.757032,0
0.754471,0
0.753191,0
0.748069,0
0.748069,0
0.746788,0
0.745508,0
0.741666,0
0.741666,0
0.740386,0
0.744227,0
0.736544,0
0.735264,0
0.732703,0
0.731422,0
0.728862,0
0.731422,0
0.728862,0
0.727581,0
0.728862,0
0.722459,0
0.722459,0
0.718618,0
0.719898,0
0.718618,0
0.719898,0
0.719898,0
0.718618,0
0.718618,0
0.716057,0
0.714776,0
0.710935,0
0.709654,0
0.709654,0
0.710935,0
0.712215,0
0.712215,0
0.708374,0
0.704532,0
0.704532,0
0.700691,0
0.701971,0
0.705813,0
0.703252,0
0.701971,0
0.703252,0
0.701971,0
0.700691,0
0.69813,0
0.69813,0
0.69813,0
0.69813,0
0.69941,0
0.69941,0
0.69941,0
0.69813,0
0.694288,0
0.694288,0
0.691728,0
0.691728,0
0.691728,0
0.693008,0
0.690447,0
0.690447,0
0.686606,0
0.687886,0
0.684045,0
0.684045,0
0.685325,0
0.685325,0
0.685325,0
0.685325,0
0.684045,0
0.681484,0
0.684045,0
0.681484,0
0.676362,0
0.681484,0
0.676362,0
0.676362,0
0.673801,0
0.675081,0
0.675081,0
0.675081,0
0.67252,0
0.67252,0
0.67124,0
0.678923,0
0.681484,0
0.678923,0
0.678923,0
0.676362,0
0.67252,0
0.678923,0
0.682764,0
0.686606,0
0.686606,0
0.691728,0
0.687886,0
0.687886,0
0.685325,0
0.682764,0
0.684045,0
0.678923,0
0.677642,0
0.680203,0
0.677642,0
0.678923,0
0.676362,0
0.67124,0
0.67124,0
0.67252,0
0.676362,0
0.677642,0
0.676362,0
0.676362,0
0.676362,0
0.676362,0
0.673801,0
0.67124,0
0.67124,0
0.669959,0
0.675081,0
0.67252,0
0.67252,0
0.675081,0
0.676362,0
0.67124,0
0.669959,0
0.676362,0
0.67124,0
0.673801,0
0.675081,0
0.673801,0
0.668679,0
0.668679,0
0.663557,0
0.663557,0
0.658435,0
0.658435,0
0.662276,0
0.662276,0
0.660996,0
0.660996,0
0.659715,0
0.655874,0
0.653313,0
0.653313,0
0.650752,0
0.654593,0
0.649472,0
0.653313,0
0.654593,0
0.653313,0
0.649472,0
0.648191,0
0.646911,0
0.646911,0
0.649472,0
0.648191,0
0.649472,0
0.648191,0
0.64435,0
0.640508,0
0.641789,0
0.643069,0
0.643069,0
0.64435,0
0.643069,0
0.64435,0
0.64435,0
0.643069,0
0.643069,0
0.643069,1
0.64563,1
0.648191,1
0.652033,1
0.655874,1
0.659715,1
0.668679,1
0.685325,1
0.718618,1
0.765996,1
0.822337,1
0.862032,1
0.886361,1
0.918373,1
0.932458,1
0.955507,1
0.979836,1
1.000324,1
1.005446,1
1.011848,1
1.024653,1
1.054104,1
0.977344,1
0.986308,1
0.978625,1
0.974783,1
0.970942,1
0.961978,1
0.961978,1
0.954296,1
0.951735,1
0.942771,1
0.935088,1
0.929966,1
0.926125,1
0.919722,1
0.91204,1
0.910759,1
0.910759,1
0.910759,1
0.909479,1
0.908198,1
0.908198,1
0.899235,1
0.903076,1
0.906918,1
0.914601,1
0.914601,1
0.918442,1
0.917162,1
0.909479,1
0.895393,1
0.885149,1
0.881308,1
0.878747,1
0.878747,1
0.885149,1
0.903076,1
