1551454197, IBI,label
16.219493,0.593777,0
16.828896,0.609403,0
17.485176,0.65628,0
18.141456,0.65628,0
18.828987,0.687531,0
19.485267,0.65628,0
30.485771,0.671906,0
31.126425,0.640654,0
31.798331,0.671906,0
32.438985,0.640654,0
33.079639,0.640654,0
33.689042,0.609403,0
34.314071,0.625029,0
34.954725,0.640654,0
35.59538,0.640654,0
36.267285,0.671906,0
36.954817,0.687531,0
37.611097,0.65628,0
38.267377,0.65628,0
38.892406,0.625029,0
39.564311,0.671906,0
40.204966,0.640654,0
40.814368,0.609403,0
41.470649,0.65628,0
42.095677,0.625029,0
42.720706,0.625029,0
43.345734,0.625029,0
43.986389,0.640654,0
44.705172,0.718783,0
45.283323,0.578151,0
45.861475,0.578151,0
46.549006,0.687531,0
47.174035,0.625029,0
47.814689,0.640654,0
48.439718,0.625029,0
49.064746,0.625029,0
49.658523,0.593777,0
50.267926,0.609403,0
50.908581,0.640654,0
51.564861,0.65628,0
52.205515,0.640654,0
52.799292,0.593777,0
53.486824,0.687531,0
54.033724,0.5469,0
54.658752,0.625029,0
55.330658,0.671906,0
55.924435,0.593777,0
56.533838,0.609403,0
57.190118,0.65628,0
57.76827,0.578151,0
58.471427,0.703157,0
59.096455,0.625029,0
59.768361,0.671906,0
64.924847,0.609403,0
65.674881,0.750034,0
66.268659,0.593777,0
66.878062,0.609403,0
67.549967,0.671906,0
68.206247,0.65628,0
73.581493,0.65628,0
74.222148,0.640654,0
74.878428,0.65628,0
75.550333,0.671906,0
76.206614,0.65628,0
76.784765,0.578151,0
77.425419,0.640654,0
78.081699,0.65628,0
78.753605,0.671906,0
89.754109,0.703157,0
90.347886,0.593777,0
90.957289,0.609403,0
91.597943,0.640654,0
92.238597,0.640654,0
92.894877,0.65628,0
104.62979,0.609403,0
105.239192,0.609403,0
105.848595,0.609403,0
106.473624,0.625029,0
107.14553,0.671906,0
107.817436,0.671906,0
108.504967,0.687531,0
109.176873,0.671906,0
109.817527,0.640654,0
110.442556,0.625029,0
111.098836,0.65628,0
111.73949,0.640654,0
112.380144,0.640654,0
113.020799,0.640654,0
113.661453,0.640654,0
114.286482,0.625029,0
114.958387,0.671906,0
115.67717,0.718783,0
116.427205,0.750034,0
117.177239,0.750034,0
117.86477,0.687531,0
118.536676,0.671906,0
119.239833,0.703157,0
119.911739,0.671906,0
120.614896,0.703157,0
121.271176,0.65628,0
121.927456,0.65628,0
122.568111,0.640654,0
123.224391,0.65628,0
123.865045,0.640654,0
124.490074,0.625029,0
125.115102,0.625029,0
125.740131,0.625029,0
126.380785,0.640654,0
127.052691,0.671906,0
127.755848,0.703157,0
128.396502,0.640654,0
129.084034,0.687531,0
129.724688,0.640654,1
130.349717,0.625029,1
131.115377,0.76566,1
142.178383,0.609403,1
142.787786,0.609403,1
143.287809,0.500023,1
143.787832,0.500023,1
146.725466,0.609403,1
152.428853,0.593777,1
153.007004,0.578151,1
153.585155,0.578151,1
154.178933,0.593777,1
154.741458,0.562526,1
155.350861,0.609403,1
155.929013,0.578151,1
156.52279,0.593777,1
157.100941,0.578151,1
157.679093,0.578151,1
158.27287,0.593777,1
158.866647,0.593777,1
159.460424,0.593777,1
160.069827,0.609403,1
160.647979,0.578151,1
161.288633,0.640654,1
161.866785,0.578151,1
162.398059,0.531274,1
163.054339,0.65628,1
167.007645,0.593777,1
167.538919,0.531274,1
173.586071,0.531274,1
174.054842,0.468771,1
174.632994,0.578151,1
175.211145,0.578151,1
175.711168,0.500023,1
176.211191,0.500023,1
200.227916,0.531274,1
200.774816,0.5469,1
201.321716,0.5469,1
201.821738,0.500023,1
202.384264,0.562526,1
202.899913,0.515649,1
203.415561,0.515649,1
203.915584,0.500023,1
204.415607,0.500023,1
204.962507,0.5469,1
215.509865,0.421894,1
221.197625,0.468771,1
221.682023,0.484397,1
222.150794,0.468771,1
226.041597,0.500023,1
226.494743,0.453146,1
229.026109,0.562526,1
236.448323,0.500023,1
236.963972,0.515649,1
237.448369,0.484397,1
237.964018,0.515649,1
238.448415,0.484397,1
247.105061,0.5469,1
247.62071,0.515649,1
248.151984,0.531274,1
248.698884,0.5469,1
249.214533,0.515649,1
249.761433,0.5469,1
250.292707,0.531274,1
256.933636,0.500023,1
257.433659,0.500023,1
257.933682,0.500023,1
258.433705,0.500023,1
