hr,label
1,0
55,0
89.5,0
90,0
92.75,0
90.8,0
87.83,0
86,0
84.62,0
82,0
80.2,0
78.55,0
77.25,0
76.08,0
74.93,0
73.93,0
72.75,0
71.59,0
70.72,0
69.95,0
69.25,0
68.62,0
68.09,0
67.65,0
67.33,0
68.36,0
69.23,0
70.04,0
70.82,0
71.55,0
72.23,0
72.87,0
73.47,0
74.03,0
74.56,0
75.06,0
75.53,0
76,0
76.47,0
76.92,0
77.35,0
77.76,0
78.14,0
78.51,0
78.89,0
79.24,0
79.59,0
79.94,0
80.27,0
80.59,0
80.88,0
81.16,0
81.4,0
81.64,0
81.85,0
82.04,0
82.21,0
82.37,0
82.53,0
82.69,0
82.83,0
83.43,0
82.87,0
82.85,0
82.67,0
82.78,0
83.07,0
83.32,0
83.57,0
84.07,0
84.52,0
84.98,0
85.43,0
85.92,0
86.45,0
86.98,0
87.62,0
88.28,0
88.92,0
89.55,0
90.18,0
90.8,0
91.38,0
91.95,0
92.48,0
92.47,0
92.48,0
92.48,0
92.47,0
92.45,0
92.43,0
92.38,0
92.33,0
92.28,0
92.25,0
92.22,0
92.22,0
92.33,0
92.42,0
92.47,0
92.5,0
92.52,0
92.5,0
92.47,0
92.4,0
92.33,0
92.27,0
92.18,0
92.1,0
92,0
91.92,0
91.8,0
91.7,0
91.6,0
91.52,0
91.47,0
91.42,0
91.42,0
91.38,0
91.37,0
91.38,0
91.4,0
91.43,0
91.47,0
91.52,0
91.58,0
91.67,0
91.75,0
91.83,0
91.92,0
92.02,0
92.13,0
92.28,0
92.45,0
92.68,0
92.9,0
93.1,0
93.33,0
93.53,0
93.75,0
93.95,0
94.17,0
94.38,0
94.6,0
94.82,0
95.03,0
95.23,0
95.43,0
95.62,0
95.82,0
96,0
96.22,0
96.43,0
96.65,0
96.83,0
97.02,0
97.17,0
97.2,0
97.25,0
97.35,0
97.48,0
97.65,0
97.85,0
98.08,0
98.35,0
98.63,1
98.93,1
99.25,1
99.57,1
99.92,1
100.28,1
100.7,1
101.15,1
101.6,1
102.05,1
102.5,1
102.95,1
103.4,1
103.9,1
104.38,1
104.85,1
105.32,1
105.78,1
106.25,1
106.7,1
107.1,1
107.48,1
107.87,1
108.25,1
108.6,1
108.93,1
109.25,1
109.53,1
109.75,1
109.88,1
110.02,1
110.15,1
110.25,1
110.38,1
110.5,1
110.65,1
110.83,1
111.07,1
111.33,1
111.63,1
111.95,1
112.3,1
112.67,1
113.05,1
113.42,1
113.82,1
114.2,1
114.6,1
115,1
115.42,1
115.83,1
116.25,1
116.65,1
117.03,1
117.38,1
117.7,1
117.98,1
118.25,1
118.48,1
118.7,1
118.92,1
119.12,1
119.3,1
119.47,1
119.62,1
119.75,1
119.87,1
119.95,1
120.03,1
120.12,1
120.18,1
120.25,1
120.27,1
120.23,1
120.18,1
120.12,1
120.03,1
119.93,1
119.83,1
119.73,1
119.67,1
119.6,1
119.55,1
119.52,1
119.5,1
119.5,1
119.53,1
119.57,1
119.62,1
119.67,1
119.72,1
119.75,1
119.75,1
119.7,1
119.62,1
119.5,1
119.35,1
119.17,1
118.93,1
