hr,label
1,0
72,0
72,0
72.67,0
73,0
73.8,0
75.67,0
77.57,0
79.38,0
80.56,0
81.5,0
82.36,0
83.17,0
84,0
84.86,0
85.67,0
86.38,0
87.06,0
87.67,0
88.21,0
88.65,0
89,0
89.27,0
89.52,0
89.71,0
89.84,0
89.92,0
90,0
90.04,0
90.07,0
90.1,0
90.13,0
90.16,0
90.18,0
90.24,0
90.29,0
90.33,0
90.38,0
90.42,0
90.46,0
90.5,0
90.54,0
90.57,0
90.63,0
90.7,0
90.78,0
90.87,0
90.98,0
91.08,0
91.18,0
91.28,0
91.39,0
91.48,0
91.57,0
91.65,0
91.71,0
91.79,0
91.84,0
91.91,0
92,0
92.08,0
92.53,0
93.02,0
93.47,0
93.93,0
94.35,0
94.63,0
94.82,0
94.93,0
95.07,0
95.17,0
95.23,0
95.27,0
95.25,0
95.18,0
95.08,0
94.97,0
94.83,0
94.7,0
94.57,0
94.45,0
94.33,0
94.23,0
94.15,0
94.08,0
94.02,0
93.97,0
93.92,0
93.9,0
93.88,0
93.87,0
93.83,0
93.8,0
93.77,0
93.72,0
93.68,0
93.65,0
93.62,0
93.58,0
93.55,0
93.52,0
93.48,0
93.45,0
93.4,0
93.33,0
93.28,0
93.22,0
93.15,0
93.1,0
93.05,0
93.02,0
92.97,0
92.95,0
92.93,0
92.92,0
92.92,0
92.9,0
92.88,0
92.87,0
92.85,0
92.83,0
92.77,0
92.65,0
92.52,0
92.33,0
92.15,0
91.95,0
91.8,0
91.68,0
91.62,0
91.6,0
91.6,0
91.63,0
91.7,0
91.8,0
91.93,0
92.08,0
92.23,0
92.38,0
92.52,0
92.65,0
92.8,0
92.95,0
93.07,0
93.2,0
93.38,0
93.6,0
93.83,0
94.05,0
94.28,0
94.52,0
94.77,0
94.98,0
95.2,0
95.4,0
95.58,0
95.78,0
95.98,0
96.18,0
96.42,0
96.65,0
96.87,0
97.08,0
97.28,0
97.45,0
97.6,0
97.73,0
97.83,0
97.93,0
98.05,0
98.15,0
98.27,0
98.37,0
98.45,0
98.52,0
98.57,0
98.6,0
98.65,0
98.68,0
98.72,0
98.75,0
98.83,0
98.95,0
99.1,0
99.28,0
99.45,0
99.62,0
99.75,0
99.85,0
99.92,0
99.97,0
100.03,0
100.08,0
100.13,0
100.17,0
100.18,0
100.18,0
100.18,0
100.17,0
100.17,0
100.17,0
100.18,0
100.2,0
100.27,0
100.32,0
100.35,0
100.35,0
100.37,0
100.38,0
100.4,0
100.42,0
100.43,0
100.48,0
100.53,0
100.6,0
100.67,0
100.72,0
100.77,0
100.82,0
100.85,0
100.9,0
100.97,0
101.03,0
101.13,0
101.27,0
101.38,0
101.52,0
101.65,0
101.75,0
101.82,0
101.87,0
101.87,0
101.87,0
101.9,0
101.95,0
102.02,0
102.12,0
102.23,0
102.32,0
102.38,0
102.47,0
102.53,1
102.57,1
102.6,1
102.65,1
102.78,1
102.92,1
103.08,1
103.3,1
103.48,1
103.7,1
103.95,1
104.2,1
104.4,1
104.62,1
104.83,1
105.07,1
105.42,1
105.78,1
106.13,1
106.45,1
106.75,1
107.03,1
107.32,1
107.58,1
107.8,1
107.98,1
108.13,1
108.28,1
108.43,1
108.63,1
108.85,1
108.98,1
109.12,1
109.23,1
109.47,1
109.75,1
109.85,1
109.93,1
109.87,1
109.75,1
109.63,1
109.5,1
109.32,1
109.12,1
108.9,1
108.67,1
108.45,1
108.25,1
108.07,1
107.9,1
107.78,1
107.68,1
107.57,1
107.45,1
107.28,1
107.1,1
106.88,1
106.7,1
106.5,1
106.28,1
105.98,1
105.73,1
105.5,1
105.25,1
104.93,1
104.63,1
104.32,1
103.97,1
103.63,1
103.38,1
103.07,1
102.77,1
102.52,1
102.27,1
102.05,1
101.88,1
101.6,1
101.32,1
101.05,1
100.82,1
100.58,1
100.37,1
100.12,1
99.92,1
99.73,1
99.6,1
99.47,1
99.35,1
99.22,1
99.03,1
98.83,1
98.78,1
98.73,1
98.7,1
98.55,1
98.35,1
98.33,1
98.32,1
98.42,1
98.55,1
98.68,1
98.83,1
99.02,1
99.2,1
99.42,1
99.65,1
99.87,1
100.08,1
100.28,1
100.48,1
100.68,1
100.87,1
101.08,1
101.32,1
101.62,1
101.92,1
102.22,1
102.5,1
102.77,1
103.03,1
103.35,1
103.63,1
103.88,1
104.13,1
104.38,1
104.65,1
104.9,1
105.15,1
105.42,1
105.57,1
105.73,1
105.88,1
106.02,1
106.13,1
106.22,1
106.27,1
106.33,1
106.4,1
106.47,1
106.53,1
106.58,1
106.63,1
106.75,1
106.83,1
106.95,1
107.1,1
107.27,1
107.42,1
107.52,1
107.58,1
107.63,1
107.6,1
107.5,1
107.42,1
107.33,1
107.22,1
107.1,1
106.98,1
