bvp,label
64,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0.01,0
0,0
-0.03,0
-0.05,0
-0.05,0
0,0
0.13,0
0.36,0
0.66,0
1.01,0
1.37,0
1.72,0
2.06,0
2.4,0
2.79,0
3.24,0
3.8,0
4.42,0
5.06,0
5.66,0
6.2,0
6.68,0
7.15,0
7.68,0
8.31,0
9.14,0
10.09,0
11.04,0
11.88,0
12.56,0
13.14,0
13.76,0
14.65,0
15.96,0
17.91,0
20.32,0
22.9,0
25.38,0
27.58,0
29.57,0
31.68,0
34.32,0
37.81,0
42.54,0
48.15,0
54.1,0
59.83,0
64.97,0
69.58,0
74.14,0
79.34,0
85.71,0
93.76,0
103,0
112.62,0
121.73,0
129.77,0
136.75,0
143.3,0
150.75,0
157.77,0
166.64,0
177.95,0
191.79,0
206.97,0
220.57,0
228.25,0
225.36,0
208.53,0
176.87,0
132.76,0
80.05,0
23.07,0
-34.95,0
-92.44,0
-149.16,0
-205.23,0
-260.37,0
-313.73,0
-363.85,0
-409.8,0
-450.85,0
-486.42,0
-515.62,0
-537.07,0
-549.02,0
-549.71,0
-538.06,0
-513.84,0
-478.24,0
-433.38,0
-381.89,0
-326.39,0
-269.14,0
-211.85,0
-155.8,0
-102.01,0
-51.35,0
-4.78,0
36.8,0
72.76,0
102.8,0
127.09,0
146.11,0
160.59,0
171.24,0
178.66,0
183.28,0
185.36,0
185.14,0
182.9,0
178.98,0
173.79,0
167.75,0
161.19,0
154.37,0
147.43,0
140.44,0
133.44,0
126.48,0
119.61,0
112.92,0
106.46,0
100.3,0
94.47,0
88.99,0
83.85,0
79.08,0
74.67,0
70.63,0
67,0
63.77,0
60.94,0
58.52,0
56.48,0
54.79,0
53.39,0
52.19,0
51.08,0
49.91,0
48.5,0
46.68,0
44.28,0
41.17,0
37.28,0
32.58,0
27.16,0
21.07,0
14.54,0
7.79,0
1.09,0
-5.29,0
-11.1,0
-16.12,0
-20.22,0
-23.3,0
-25.36,0
-26.43,0
-26.61,0
-26.03,0
-24.84,0
-23.2,0
-21.22,0
-19.04,0
-16.72,0
-14.34,0
-11.9,0
-9.45,0
-7,0
-4.55,0
-2.11,0
0.35,0
2.83,0
5.35,0
7.95,0
10.65,0
13.43,0
16.28,0
19.21,0
22.21,0
25.31,0
28.52,0
31.89,0
35.43,0
39.22,0
43.17,0
47.23,0
51.38,0
55.62,0
59.95,0
64.4,0
69.03,0
73.89,0
79.09,0
84.49,0
90.03,0
95.65,0
101.33,0
107.06,0
112.83,0
118.64,0
124.49,0
130.43,0
136.18,0
141.49,0
146.14,0
149.92,0
152.51,0
153.58,0
152.62,0
148.97,0
143.91,0
137.91,0
131.28,0
124.26,0
117,0
109.66,0
102.37,0
95.26,0
88.46,0
82.14,0
76.16,0
70.44,0
64.95,0
59.67,0
54.61,0
49.77,0
45.18,0
40.9,0
37.02,0
33.39,0
29.93,0
26.63,0
23.46,0
20.43,0
17.59,0
15,0
12.71,0
10.8,0
9.19,0
7.77,0
6.49,0
5.3,0
4.19,0
3.15,0
2.23,0
1.46,0
0.85,0
0.31,0
-0.25,0
-0.92,0
-1.77,0
-2.8,0
-3.95,0
-5.13,0
-6.26,0
-7.28,0
-8.22,0
-9.21,0
-10.34,0
-11.69,0
-13.28,0
-14.96,0
-16.6,0
-18.01,0
-19.18,0
-20.25,0
-21.5,0
-23.26,0
-25.76,0
-28.96,0
-32.59,0
-36.18,0
-39.35,0
-41.97,0
-44.33,0
-47.05,0
-50.84,0
-56.21,0
-63.13,0
-71.1,0
-79.26,0
-86.83,0
-93.53,0
-99.73,0
-106.39,0
-114.59,0
-125.04,0
-137.71,0
-151.75,0
-165.97,0
-179.26,0
-191.18,0
-202.06,0
-212.89,0
-224.95,0
-239.66,0
-258.34,0
-281.82,0
-309.7,0
-339.62,0
-367,0
-385.86,0
-390.76,0
-378.88,0
-351.4,0
-313.17,0
-270.82,0
-230.29,0
-195.02,0
-165.68,0
-141.22,0
-120.34,0
-102.51,0
