x,y,z,difference,label
32,32,32,57.49782605,0
-9,4,61,1,0
-9,4,62,1,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,1,0
-9,4,62,0,0
-9,4,62,0,0
-9,4,62,0,0
-9,4,62,0,0
-9,4,62,1,0
-9,4,61,0,0
-9,4,61,1,0
-9,4,62,1,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,1,0
-9,4,62,1,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,1,0
-9,4,62,1,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,1,0
-9,4,62,1,0
-9,4,61,1,0
-9,4,62,0,0
-9,4,62,0,0
-9,4,62,1,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,1,0
-9,4,62,1,0
-9,4,61,1,0
-9,4,62,1,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,1,0
-9,4,62,1,0
-9,4,61,0,0
-9,4,61,0,0
-9,4,61,1,0
-9,3,61,1.414213562,0
-10,4,61,1,0
-9,4,61,1.732050808,0
-10,3,62,1.732050808,0
-11,4,61,1,0
-10,4,61,1.414213562,0
-10,3,62,3.605551275,0
-10,6,64,4.123105626,0
-10,5,60,4.123105626,0
-14,4,60,1,0
-14,5,60,2.828427125,0
-16,3,60,4.242640687,0
-12,4,61,0,0
-12,4,61,0,0
-12,4,61,1,0
-11,4,61,0,0
-11,4,61,1.414213562,0
-10,4,62,2.449489743,0
-11,2,61,3,0
-9,4,62,1.732050808,0
-10,3,61,1,0
-10,4,61,1.414213562,0
-10,3,62,1.414213562,0
-11,3,61,2.449489743,0
-9,4,62,2.236067977,0
-11,4,61,1,0
-10,4,61,1,0
-11,4,61,0,0
-11,4,61,0,0
-11,4,61,1,0
-10,4,61,0,0
-10,4,61,1.414213562,0
-11,3,61,0,0
-11,3,61,1.732050808,0
-10,4,62,1,0
-10,4,61,0,0
-10,4,61,1.414213562,0
-11,3,61,1,0
-10,3,61,1,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,1,0
-11,4,61,1,0
-10,4,61,0,0
-10,4,61,1,0
-11,4,61,1.414213562,0
-10,3,61,1.414213562,0
-10,4,62,0,0
-10,4,62,1,0
-10,4,61,1,0
-11,4,61,1,0
-10,4,61,0,0
-10,4,61,1,0
-10,3,61,1.414213562,0
-10,4,62,1,0
-10,4,61,1,0
-11,4,61,0,0
-11,4,61,0,0
-11,4,61,1,0
-10,4,61,1,0
-10,3,61,1,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,1,0
-11,4,61,1,0
-10,4,61,1,0
-10,4,62,1,0
-10,4,61,1,0
-11,4,61,1,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,1,0
-10,4,62,1,0
-10,4,61,0,0
-10,4,61,1,0
-10,3,61,1,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,1,0
-10,4,62,1,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,1,0
-10,3,61,1,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,0,0
-10,4,61,1,0
-11,4,61,1,0
