1551116332, IBI,label
16.344498,0.750034,0
17.14141,0.796911,0
17.938321,0.796911,0
18.735233,0.796911,0
19.54777,0.812537,0
20.360307,0.812537,0
21.172844,0.812537,0
21.891627,0.718783,0
26.891856,0.781286,0
27.798147,0.906291,0
28.641936,0.843789,0
29.470099,0.828163,0
30.313888,0.843789,0
31.173302,0.859414,0
32.063968,0.890666,0
32.954633,0.890666,0
33.892176,0.937543,0
34.767216,0.87504,0
35.673508,0.906291,0
36.579799,0.906291,0
37.517342,0.937543,0
38.43926,0.921917,0
39.3143,0.87504,0
40.236217,0.921917,0
41.189385,0.953169,1
42.080051,0.890666,1
42.970717,0.890666,1
43.892634,0.921917,1
44.736423,0.843789,1
45.611463,0.87504,1
